,station,the_geom,pids,he_loop,lift,long,lat
0,Bayswater,POINT (145.26826700000004 -37.84186299999999),LCD,Yes,Yes,145.26826700000004,-37.84186299999999
1,Bentleigh,POINT (145.03689400000007 -37.91779299999996),LCD,Yes,Yes,145.03689400000007,-37.91779299999996
2,Blackburn,POINT (145.15019700000005 -37.82015799999999),Dot Matrix,No,Yes,145.15019700000005,-37.82015799999999
3,Boronia,POINT (145.28429700000004 -37.859830999999986),Dot Matrix,No,Yes,145.28429700000004,-37.859830999999986
4,Box Hill,POINT (145.1218 -37.81927399999995),CRT,No,Yes,145.1218,-37.81927399999995
5,Dandenong,POINT (145.20963900000004 -37.989934000000005),Dot Matrix,No,Yes,145.20963900000004,-37.989934000000005
6,Epping,POINT (145.02860700000008 -37.65301699999998),Dot Matrix,Yes,Yes,145.02860700000008,-37.65301699999998
7,Flagstaff,POINT (144.95644700000003 -37.811826999999994),LCD,Yes,Yes,144.95644700000003,-37.811826999999994
8,Flinders Street,POINT (144.966997 -37.81832099999997),LCD,Plat 1 only,Yes,144.966997,-37.81832099999997
9,Footscray,POINT (144.902378 -37.801694999999995),Dot Matrix,Yes,Yes,144.902378,-37.801694999999995
10,Gardiner,POINT (145.05162400000006 -37.853275999999994),LCD,Yes,Yes,145.05162400000006,-37.853275999999994
11,Ginifer,POINT (144.80964300000005 -37.75758099999996),LCD,Yes,Yes,144.80964300000005,-37.75758099999996
12,Heatherdale,POINT (145.21189500000003 -37.818922999999984),LCD,Yes,Yes,145.21189500000003,-37.818922999999984
13,Laverton,POINT (144.7726150000001 -37.86369399999995),Dot Matrix,No,Yes,144.7726150000001,-37.86369399999995
14,Mckinnon,POINT (145.03822300000002 -37.91071299999999),LCD,Yes,Yes,145.03822300000002,-37.91071299999999
15,Melbourne Central,POINT (144.963757 -37.809699999999964),LCD,Yes,Yes,144.963757,-37.809699999999964
16,Mitcham,POINT (145.19228099999998 -37.81797799999998),Dot Matrix,Yes,Yes,145.19228099999998,-37.81797799999998
17,Watergardens,POINT (144.77386 -37.700717),Dot Matrix,No,Yes,144.77386,-37.700717
18,North Melbourne,POINT (144.94183099999998 -37.806735),LCD,No,Yes,144.94183099999998,-37.806735
19,Nunawading,POINT (145.174174 -37.820719999999994),Dot Matrix,Yes,Yes,145.174174,-37.820719999999994
20,Ormond,POINT (145.039531 -37.903606999999965),LCD,Yes,Yes,145.039531,-37.903606999999965
21,Parliament,POINT (144.97340800000006 -37.811928999999964),LCD,Yes,Yes,144.97340800000006,-37.811928999999964
22,Ringwood,POINT (145.22881600000005 -37.815968999999996),Dot Matrix,Yes,Yes,145.22881600000005,-37.815968999999996
23,Southern Cross,POINT (144.95219300000008 -37.818354),LCD,No,Yes,144.95219300000008,-37.818354
24,Springvale,POINT (145.153507 -37.94937999999996),Dot Matrix,Yes,Yes,145.153507,-37.94937999999996
25,St Albans,POINT (144.80007 -37.744872999999984),LCD,Yes,Yes,144.80007,-37.744872999999984
26,Sunshine,POINT (144.83232400000009 -37.78785099999999),Dot Matrix,Yes,Yes,144.83232400000009,-37.78785099999999
27,Thomastown,POINT (145.01429400000006 -37.680296),Dot Matrix,Yes,Yes,145.01429400000006,-37.680296
28,West Footscray,POINT (144.88564800000006 -37.801849000000004),Dot Matrix,Yes,Yes,144.88564800000006,-37.801849000000004
29,Westall,POINT (145.1388340000001 -37.938492),Dot Matrix,No,Yes,145.1388340000001,-37.938492
30,Coolaroo,POINT (144.92605300000002 -37.661001),Dot Matrix,Yes,Yes,144.92605300000002,-37.661001
31,South Morang,POINT (145.06746800000008 -37.64907599999998),Dot Matrix,Yes,Yes,145.06746800000008,-37.64907599999998
32,Williams Landing,POINT (144.74719400000004 -37.87009999999998),Dot Matrix,Yes,Yes,144.74719400000004,-37.87009999999998
33,Southland,POINT (145.048673 -37.958177999999975),LCD,Yes,Yes,145.048673,-37.958177999999975
